Year,Coach,Overall record,Big Ten record
1898,Gustave Ferbert,10–0,3–0
1901 †,Fielding H. Yost,11–0,4–0
1902,Fielding H. Yost,11–0,5–0
1903 †,Fielding H. Yost,11–0–1,3–0–1
1904 †,Fielding H. Yost,10–0,2–0
1906 †,Fielding H. Yost,4–1,1–0
1918 †,Fielding H. Yost,5–0,2–0
1922 †,Fielding H. Yost,6–0–1,4–0
1923 †,Fielding H. Yost,8–0,4–0
1925,Fielding H. Yost,7–1,5–1
1926 †,Fielding H. Yost,7–1,5–0
1930 †,Harry Kipke,8–0–1,5–0
1931 †,Harry Kipke,8–1–1,5–1
1932 †,Harry Kipke,8–0,6–0
1933 †,Harry Kipke,7–0–1,5–0–1
1943 †,Fritz Crisler,8–1,6–0
1947,Fritz Crisler,10–0,6–0
1948,Bennie Oosterbaan,9–0,6–0
1949 †,Bennie Oosterbaan,6–2–1,4–1–1
1950,Bennie Oosterbaan,6–3–1,4–1–1
1964,Bump Elliott,9–1,6–1
1969 †,Bo Schembechler,8–3,6–1
1971,Bo Schembechler,11–1,8–0
1972 †,Bo Schembechler,10–1,7–1
1973 †,Bo Schembechler,10-0–1,7–0–1
1974 †,Bo Schembechler,10–1,7–1
1976 †,Bo Schembechler,10–2,7–1
1977 †,Bo Schembechler,10–2,7–1
1978 †,Bo Schembechler,10–2,7–1
1980,Bo Schembechler,10–2,8–0
1982,Bo Schembechler,8–4,8–1
1986 †,Bo Schembechler,11–2,7–1
1988,Bo Schembechler,9–2–1,7–0–1
1989,Bo Schembechler,10–2,8–0
1990 †,Gary Moeller,9–3,6–2
1991,Gary Moeller,10–2,8–0
1992,Gary Moeller,9–0–3,6–0–2
1997,Lloyd Carr,12–0,8–0
1998 †,Lloyd Carr,10–3,7–1
2000 †,Lloyd Carr,9–3,6–2
2003,Lloyd Carr,10–3,7–1
2004 †,Lloyd Carr,9–3,7–1
